Tanggal,Lux,SolarIrradiation
2023-03-01,3409.0,27.94
2023-03-02,3412.0,27.97
2023-03-03,27230.0,223.2
2023-03-04,13785.0,112.99
2023-03-05,4193.0,34.37
2023-03-06,53370.0,437.46
2023-03-07,33100.0,271.31
2023-03-08,4062.0,33.3
2023-03-09,151700.0,1243.44
2023-03-10,3917.0,32.11
2023-03-11,58935.0,483.07
2023-03-12,73588.0,603.18
2023-03-13,96810.0,793.52
2023-03-14,50220.0,411.64
2023-03-15,14370.0,117.79
2023-03-16,134600.0,1103.28
2023-03-17,91410.0,749.26
2023-03-18,66555.0,545.53
2023-03-19,48437.0,397.02
2023-03-20,112800.0,924.59
2023-03-21,78630.0,644.51
2023-03-22,148719.0,1219.01
2023-03-23,82015.0,672.25
2023-03-24,98320.0,805.9
2023-03-25,14180.0,116.23
2023-03-26,49166.0,403.0
2023-03-27,64040.0,524.92
2023-03-28,40930.0,335.49
2023-03-29,86560.0,709.51
2023-03-30,148900.0,1220.49
2023-03-31,80600.0,660.66
2023-04-01,22370.0,183.36
2023-04-02,77221.0,632.96
2023-04-03,24200.0,198.36
2023-04-04,77990.0,639.26
2023-04-05,72320.0,592.79
2023-04-06,126100.0,1033.61
2023-04-07,84240.0,690.49
2023-04-08,79207.0,649.24
2023-04-09,74973.0,614.53
2023-04-10,72880.0,597.38
2023-04-11,1725.0,14.14
2023-04-12,106400.0,872.13
2023-04-13,70636.0,578.98
2023-04-14,45760.0,375.08
2023-04-15,40656.0,333.25
2023-04-16,86052.0,705.34
2023-04-17,21980.0,180.16
2023-04-18,23456.0,192.26
2023-04-19,23604.0,193.48
2023-04-20,38961.0,319.35
2023-04-21,1723.0,14.12
2023-04-22,115513.0,946.83
2023-04-23,72088.0,590.89
2023-04-24,47121.0,386.24
2023-04-25,1105.0,9.06
2023-04-26,88400.0,724.59
2023-04-27,21370.0,175.16
2023-04-28,90437.0,741.29
2023-04-29,82581.0,676.89
2023-04-30,94804.0,777.08
2023-05-01,24532.0,201.08
2023-05-02,60460.0,495.57
2023-05-03,16709.0,136.96
2023-05-04,45770.0,375.16
2023-05-05,73860.0,605.41
2023-05-06,24555.0,201.27
2023-05-07,24990.0,204.84
2023-05-08,100300.0,822.13
2023-05-09,2972.0,24.36
2023-05-10,117900.0,966.39
2023-05-11,14816.0,121.44
2023-05-12,70030.0,574.02
2023-05-13,32967.0,270.22
2023-05-14,116240.0,952.79
2023-05-15,18860.0,154.59
2023-05-16,26877.0,220.3
2023-05-17,77930.0,638.77
2023-05-18,21124.0,173.15
2023-05-19,4036.0,33.08
2023-05-20,32670.0,267.79
2023-05-21,21650.0,177.46
2023-05-22,34380.0,281.8
2023-05-23,5002.0,41.0
2023-05-24,17340.0,142.13
2023-05-25,33126.0,271.52
2023-05-26,31210.0,255.82
2023-05-27,32832.0,269.11
2023-05-28,34279.0,280.98
2023-05-29,91530.0,750.25
2023-05-30,14300.0,117.21
2023-05-31,78630.0,644.51
2023-06-01,89695.0,735.2
2023-06-02,40760.0,334.1
2023-06-03,43167.0,353.83
2023-06-04,37842.0,310.18
2023-06-05,89690.0,735.16
2023-06-06,2791.0,22.88
2023-06-07,18130.0,148.61
2023-06-08,43529.0,356.8
2023-06-09,89045.0,729.88
2023-06-10,36925.0,302.66
2023-06-11,33578.0,275.23
2023-06-12,73649.0,603.68
2023-06-13,45360.0,371.8
